Detector, Descriptor, Lidar TTC, Camera TTC, Error
FAST, BRIEF, 8.3988, 11.5605, 0.376449
FAST,ORB
FAST, ORB, 12.5156, 11.4727, 0.0833288
FAST, ORB, 12.6142, 12.0327, 0.0461045
FAST, ORB, 14.091, 11.4487, 0.187516
FAST, ORB, 16.6894, 12.9669, 0.223045
FAST, ORB, 15.9082, 13.7533, 0.135459
FAST, ORB, 12.6787, 12.2746, 0.031874
FAST, ORB, 11.9844, 13.6149, 0.136054
FAST, ORB, 13.1241, 12.409, 0.0544901
FAST, ORB, 13.0241, 12.2538, 0.0591482
FAST, ORB, 11.1746, 13.2095, 0.182097
FAST, ORB, 12.8086, 11.9536, 0.0667554
FAST, ORB, 8.95978, 11.2695, 0.25779
FAST, ORB, 9.96439, 11.5372, 0.157846
FAST, ORB, 9.59863, 10.6507, 0.109607
FAST, ORB, 8.57352, 10.0177, 0.168445
FAST, ORB, 9.51617, 10.2892, 0.0812308
FAST, ORB, 9.54658, 9.67816, 0.0137826
FAST, ORB, 8.3988, 11.2685, 0.341676
FAST,FREAK
FAST, FREAK, 12.5156, 12.0538, 0.0368959
FAST, FREAK, 12.6142, 12.69, 0.00600267
FAST, FREAK, 14.091, 13.2302, 0.0610892
FAST, FREAK, 16.6894, 13.7752, 0.174612
FAST, FREAK, 15.9082, 13.0459, 0.179929
FAST, FREAK, 12.6787, 12.1987, 0.037862
FAST, FREAK, 11.9844, 13.1517, 0.09741
FAST, FREAK, 13.1241, 12.5567, 0.0432372
FAST, FREAK, 13.0241, 12.8937, 0.0100144
FAST, FREAK, 11.1746, 12.8249, 0.147679
FAST, FREAK, 12.8086, 12.2504, 0.0435829
FAST, FREAK, 8.95978, 12.2008, 0.361732
FAST, FREAK, 9.96439, 11.5554, 0.159671
FAST, FREAK, 9.59863, 11.0443, 0.150617
FAST, FREAK, 8.57352, 11.2222, 0.308939
FAST, FREAK, 9.51617, 11.2503, 0.182227
FAST, FREAK, 9.54658, 10.4317, 0.092714
FAST, FREAK, 8.3988, 11.5849, 0.379346
BRISK,BRISK
BRISK, BRISK, 12.5156, 13.8446, 0.106187
BRISK, BRISK, 12.6142, 21.2377, 0.68363
BRISK, BRISK, 14.091, 12.7096, 0.0980367
BRISK, BRISK, 16.6894, 15.621, 0.0640173
BRISK, BRISK, 15.9082, 27.8948, 0.753485
BRISK, BRISK, 12.6787, 19.4381, 0.53313
BRISK, BRISK, 11.9844, 17.3266, 0.445768
BRISK, BRISK, 13.1241, 16.5208, 0.25881
BRISK, BRISK, 13.0241, 14.801, 0.136432
BRISK, BRISK, 11.1746, 13.9297, 0.246545
BRISK, BRISK, 12.8086, 13.1359, 0.0255512
BRISK, BRISK, 8.95978, 11.5569, 0.289864
BRISK, BRISK, 9.96439, 11.9434, 0.198609
BRISK, BRISK, 9.59863, 12.4668, 0.298813
